사업체특성별(1),사업체특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
사업체특성별(1),사업체특성별(2),활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용가능여부,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유,활용할 수 없는 이유
사업체특성별(1),사업체특성별(2),소계,필요한 사람은 모두 자유롭게 활용가능,필요한 사람은 모두 자유롭게 활용가능,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,전혀 활용할 수 없음,전혀 활용할 수 없음,사내에 제도로 도입되지 않아서,사내에 제도로 도입되지 않아서,대체인력을 구하기 어려워서,대체인력을 구하기 어려워서,동료 및 관리자의 업무 가중으로,동료 및 관리자의 업무 가중으로,추가인력 고용으로 인한 인건비 부담으로,추가인력 고용으로 인한 인건비 부담으로,소계,필요한 사람은 모두 자유롭게 활용가능,필요한 사람은 모두 자유롭게 활용가능,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,전혀 활용할 수 없음,전혀 활용할 수 없음,대체인력을 구하기 어려워서,대체인력을 구하기 어려워서,동료 및 관리자의 업무 가중으로,동료 및 관리자의 업무 가중으로,추가인력 고용으로 인한 인건비 부담으로,추가인력 고용으로 인한 인건비 부담으로,사용할 수 없는 직장분위기나 문화때문에,사용할 수 없는 직장분위기나 문화때문에,직원의 연령대가 높음,직원의 연령대가 높음,제도없음,제도없음,대상자 없음,대상자 없음,출산하지 않을 인원만 채용함,출산하지 않을 인원만 채용함,소계,필요한 사람은 모두 자유롭게 활용가능,필요한 사람은 모두 자유롭게 활용가능,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,전혀 활용할 수 없음,전혀 활용할 수 없음,대체인력을 구하기 어려워서,대체인력을 구하기 어려워서,동료 및 관리자의 업무 가중으로,동료 및 관리자의 업무 가중으로,추가인력 고용으로 인한 인건비 부담으로,추가인력 고용으로 인한 인건비 부담으로,사용할 수 없는 직장분위기나 문화때문에,사용할 수 없는 직장분위기나 문화때문에,소계,필요한 사람은 모두 자유롭게 활용가능,필요한 사람은 모두 자유롭게 활용가능,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,전혀 활용할 수 없음,전혀 활용할 수 없음,대체인력을 구하기 어려워서,대체인력을 구하기 어려워서,동료 및 관리자의 업무 가중으로,동료 및 관리자의 업무 가중으로,추가인력 고용으로 인한 인건비 부담으로,추가인력 고용으로 인한 인건비 부담으로,사용할 수 없는 직장분위기나 문화때문에,사용할 수 없는 직장분위기나 문화때문에,기타,기타,소계,필요한 사람은 모두 자유롭게 활용가능,필요한 사람은 모두 자유롭게 활용가능,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,활용 가능하나 직장분위기 대체인력 확보 어려움 등으로 인해 충분히 사용하지 못함,전혀 활용할 수 없음,전혀 활용할 수 없음,대체인력을 구하기 어려워서,대체인력을 구하기 어려워서,동료 및 관리자의 업무 가중으로,동료 및 관리자의 업무 가중으로,추가인력 고용으로 인한 인건비 부담으로,추가인력 고용으로 인한 인건비 부담으로,사용할 수 없는 직장분위기나 문화때문에,사용할 수 없는 직장분위기나 문화때문에
사업체특성별(1),사업체특성별(2),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개)
전체,소계,575287,44.1,253744,25.1,144272,30.8,177271,79.8,141409,6.6,11754,5.3,9409,8.3,14699,639909,42.7,273102,27.0,172625,30.3,194182,7.1,13782,3.7,7183,4.9,9469,11.4,22126,17.7,34315,37.8,73359,13.1,25388,4.4,8559,691517,45.4,313992,26.4,182881,28.1,194644,17.9,34832,2.6,5104,9.9,19302,69.6,135406,714740,47.3,338048,24.9,178189,27.8,198504,9.3,18496,23.3,46222,7.7,15368,49.6,98400,10.1,20017,669119,50.7,339247,26.4,176463,22.9,153409,19.7,30298,25.2,38683,23.3,35674,31.8,48754
업종별,광업,430,40.9,176,39.9,172,19.2,82,82.0,68,0.0,0,0.0,0,18.0,15,327,27.8,91,34.4,113,37.8,124,0.0,0,0.0,0,8.3,10,0.0,0,14.1,17,52.3,65,21.6,27,3.7,5,574,52.1,299,43.9,252,4.0,23,0.0,0,0.0,0,0.0,0,100.0,23,460,40.7,187,47.9,220,11.3,52,58.4,30,20.1,11,0.0,0,21.4,11,0.0,0,417,59.9,250,7.2,30,32.9,137,13.5,19,29.2,40,44.9,62,12.4,17
업종별,제조업,129391,37.9,49046,32.6,42219,29.5,38126,87.8,33467,5.9,2239,4.1,1551,2.3,870,148233,47.0,69666,33.9,50247,19.1,28319,19.1,5403,3.0,853,7.8,2198,8.8,2494,12.5,3533,27.9,7892,17.9,5062,3.1,883,118909,34.1,40602,41.2,49017,24.6,29291,65.7,19244,2.3,678,3.8,1121,28.2,8248,153628,47.7,73340,23.2,35675,29.0,44612,10.9,4883,26.1,11622,9.6,4289,49.7,22151,3.7,1666,152162,45.5,69294,37.8,57471,16.7,25397,21.8,5544,21.8,5544,18.9,4794,37.5,9515
업종별,전기 가스 증기 및 공기 조절 공급업,751,83.1,625,9.1,68,7.8,59,100.0,59,0.0,0,0.0,0,0.0,0,624,72.6,453,14.3,89,13.0,81,8.7,7,13.2,11,13.2,11,1.5,1,0.0,0,50.1,41,13.2,11,0.0,0,867,89.0,772,10.6,92,0.4,3,0.0,0,0.0,0,0.0,0,100.0,3,950,87.7,833,6.8,65,5.6,53,19.7,10,19.7,10,39.5,21,21.1,11,0.0,0,929,74.3,690,24.3,226,1.4,13,100.0,13,0.0,0,0.0,0,0.0,0
업종별,수도 하수 및 폐기물 처리 원료 재생업,3432,31.3,1073,33.3,1142,35.4,1216,79.9,971,12.3,149,4.7,57,3.2,38,3553,33.9,1205,29.2,1038,36.9,1311,12.1,159,6.9,91,7.9,104,17.0,223,19.9,260,24.0,315,12.1,159,0.0,0,3924,38.7,1519,55.8,2190,5.5,215,26.1,56,0.0,0,0.0,0,73.9,159,3688,38.7,1427,46.6,1718,14.7,543,59.0,320,6.7,37,7.4,40,26.9,146,0.0,0,4300,45.4,1953,33.3,1432,21.3,915,6.0,55,23.9,219,23.1,211,47.0,430
업종별,건설업,41486,35.3,14653,35.6,14759,29.1,12074,76.2,9196,10.8,1308,3.3,402,9.7,1168,37995,47.1,17903,25.5,9683,27.4,10409,10.1,1047,2.7,276,8.9,925,5.8,602,42.4,4410,14.1,1469,16.1,1679,0.0,0,56832,38.3,21762,20.4,11585,41.3,23485,26.0,6112,7.3,1721,46.7,10964,20.0,4687,43437,37.3,16222,39.2,17031,23.4,10184,25.3,2580,20.1,2048,42.4,4316,12.2,1240,0.0,0,46596,47.6,22184,10.4,4847,42.0,19565,20.3,3978,11.8,2316,26.5,5181,41.4,8090
업종별,도매 및 소매업,82639,37.4,30870,17.6,14511,45.1,37258,69.8,26004,6.2,2294,11.3,4203,12.8,4757,108157,28.6,30903,19.3,20900,52.1,56355,3.0,1714,5.7,3184,3.6,2040,7.7,4325,16.4,9220,39.6,22327,19.6,11043,4.4,2502,104760,38.7,40585,23.6,24677,37.7,39498,11.2,4418,1.1,425,1.2,479,86.5,34176,127619,50.0,63864,16.9,21528,33.1,42227,9.0,3793,0.6,239,4.8,2032,44.4,18755,41.2,17408,97199,56.1,54491,20.5,19905,23.5,22803,25.2,5747,19.0,4340,30.9,7056,24.8,5660
업종별,운수 및 창고업,20009,55.3,11058,18.9,3775,25.9,5176,82.5,4271,11.4,590,2.2,114,3.9,202,19129,40.9,7815,32.2,6165,26.9,5148,6.9,355,0.0,0,0.0,0,5.8,301,20.2,1039,39.7,2044,20.3,1046,7.1,364,23023,54.5,12542,28.4,6535,17.1,3947,0.0,0,19.8,782,0.9,35,79.3,3130,14029,47.3,6634,37.0,5185,15.8,2211,43.0,950,12.2,271,12.2,271,32.5,719,0.0,0,22183,62.2,13806,31.8,7061,5.9,1316,27.2,358,21.8,287,7.9,104,43.0,566
업종별,숙박 및 음식점업,60701,29.4,17869,13.0,7913,57.5,34919,87.9,30688,1.3,450,0.0,0,10.8,3781,71138,32.7,23277,11.5,8193,55.8,39668,0.0,0,0.0,0,3.1,1237,22.6,8979,10.8,4302,56.0,22200,3.8,1508,3.6,1442,94386,27.0,25438,14.8,14006,58.2,54943,1.0,537,1.2,675,8.8,4828,89.0,48903,100603,17.1,17176,28.0,28146,54.9,55281,2.4,1316,42.5,23508,3.2,1749,51.9,28708,0.0,0,78326,17.2,13470,18.3,14329,64.5,50528,17.9,9066,31.8,16050,18.2,9205,32.1,16207
업종별,정보통신업,14714,63.4,9323,17.3,2551,19.3,2840,82.3,2337,7.8,221,5.9,168,4.0,114,11815,57.1,6746,23.8,2817,19.1,2252,4.7,106,2.2,49,1.0,23,2.2,49,0.0,0,83.0,1870,6.9,155,0.0,0,16711,59.7,9984,33.2,5554,7.0,1173,15.4,181,23.8,279,0.0,0,60.8,713,16099,77.5,12471,12.3,1987,10.2,1641,0.0,0,54.3,890,0.0,0,39.5,647,6.3,103,22208,69.6,15456,25.7,5708,4.7,1044,23.8,249,23.8,249,33.3,348,19.0,199
업종별,금융 및 보험업,29471,63.7,18769,29.6,8711,6.8,1992,69.5,1385,15.6,311,14.9,296,0.0,0,26652,59.0,15719,34.5,9184,6.6,1749,10.9,190,19.1,334,0.3,5,20.5,359,13.7,240,26.7,468,0.0,0,8.7,152,28794,75.5,21734,24.0,6910,0.5,150,30.8,46,0.0,0,0.0,0,69.2,104,27431,86.9,23845,10.2,2789,2.9,798,44.2,353,33.7,269,0.0,0,0.0,0,22.1,176,25286,84.8,21435,14.1,3564,1.1,288,52.0,149,48.0,138,0.0,0,0.0,0
업종별,부동산업,18778,30.4,5705,33.0,6201,36.6,6872,71.1,4889,10.0,690,2.7,185,16.1,1107,20965,27.9,5857,40.5,8482,31.6,6627,3.7,243,2.4,159,12.3,815,6.0,396,57.0,3779,4.3,284,11.1,735,3.2,214,23395,37.9,8860,43.4,10150,18.7,4385,14.7,645,1.2,53,6.5,285,77.6,3401,25351,26.4,6700,33.1,8381,40.5,10271,11.0,1126,22.3,2287,7.3,746,55.7,5720,3.8,392,22295,37.4,8338,48.4,10786,14.2,3171,14.2,451,23.4,742,25.8,819,36.6,1159
업종별,전문 과학 및 기술서비스업,29354,47.6,13965,32.5,9545,19.9,5844,64.0,3738,25.3,1477,7.8,456,3.0,173,33914,53.3,18089,35.5,12052,11.1,3774,34.5,1301,7.2,272,8.7,327,20.7,782,0.0,0,13.1,493,8.7,327,7.2,272,38026,65.0,24714,31.7,12056,3.3,1257,66.8,840,5.5,69,5.5,69,22.1,278,36437,64.9,23635,26.2,9542,8.9,3259,27.5,896,24.8,807,21.6,703,26.2,853,0.0,0,40476,69.2,28001,16.3,6607,14.5,5868,22.5,1321,36.5,2141,18.0,1057,23.0,1348
업종별,사업시설관리 사업 지원 및 임대 서비스업,16278,58.1,9457,24.4,3972,17.5,2849,75.9,2163,14.6,416,2.6,74,6.9,195,19542,58.2,11377,25.1,4907,16.7,3257,1.5,49,6.7,219,12.3,400,22.1,721,15.7,512,23.8,776,13.1,426,4.7,154,21620,71.2,15398,22.7,4912,6.1,1309,1.2,16,6.7,88,6.0,78,86.1,1128,21729,66.2,14386,17.1,3708,16.7,3635,3.2,115,35.4,1286,2.2,81,57.0,2073,2.2,81,23862,63.9,15236,30.0,7160,6.1,1466,30.8,451,20.5,301,0.0,0,48.7,714
