"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1970",2.03,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1971",1.97,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1972",1.74,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1973",1.56,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1974",1.53,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1975",1.48,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1976",1.51,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1977",1.51,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1978",1.5,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1979",1.5,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1980",1.56,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1981",1.53,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1982",1.51,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1983",1.43,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1984",1.39,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1985",1.37,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1986",1.41,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1987",1.43,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1988",1.46,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1989",1.42,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1990",1.45,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1991",1.33,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1992",1.29,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1993",1.28,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1994",1.24,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1995",1.25,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1996",1.32,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1997",1.37,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1998",1.36,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","1999",1.36,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2000",1.38,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2001",1.35,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2002",1.34,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2003",1.34,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2004",1.36,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2005",1.34,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2006",1.33,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2007",1.37,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2008",1.38,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2009",1.36,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2010",1.39,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2011",1.39,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2012",1.41,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2013",1.42,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2014",1.47,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2015",1.5,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2016",1.59,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2017",1.57,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2018",1.57,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2019",1.54,
"DEU","FERTILITY","TOT","CHD_WOMAN","A","2020",1.53,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1970",2.42,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1971",2.41,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1972",2.36,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1973",2.34,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1974",2.33,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1975",2.21,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1976",2.11,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1977",1.97,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1978",1.87,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1979",1.76,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1980",1.68,
"ITA","FERTILITY","TOT","CHD_WOMAN","A","1981",1.6,
